message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,"This is a routine business alert about an account or card update with no urgent action required, matching how the user typically engages with this sender.",0.81,message_0243
msg_091,mute,scam,"The message asks for OTP, card or wallet credentials through a suspicious verification flow.",0.87,message_0238
msg_090,digest,unknown,"The sender is unfamiliar and unverified, but the message explicitly states no urgency, warranting later review instead of immediate delivery.",0.79,message_0339
msg_048,mute,urgent,"This is a pressure-tactic message from a routinely dismissed society sender, using urgency and a QR payment to push immediate, unverified action.",0.86,message_0151
msg_040,mute,forward,The message is a chain forward asking the user to propagate it further.,0.87,message_0136
msg_075,notify,urgent,"This is a time-sensitive ride status change requiring prompt attention, and the user typically engages with this sender's messages quickly.",0.90,message_0205
msg_005,notify,urgent,"This is a time-sensitive marketplace hold with a firm 6 PM deadline, from a sender the user typically answers quickly.",0.90,message_0065
msg_104,mute,urgent,"This time-sensitive pickup request has a real deadline and consequence, but comes from a sender the user consistently ignores unread.",0.86,message_0224
msg_069,mute,forward,The message is a chain forward asking the user to propagate it further.,0.87,message_0080
msg_107,mute,scam,The message contains instructions aimed at the routing system rather than the user.,0.87,message_0056
msg_070,mute,scam,"The message asks for OTP, card or wallet credentials through a suspicious verification flow.",0.87,message_0369
msg_003,notify,business_update,"This is a routine shipping update from a business the user engages with promptly, warranting immediate delivery despite lacking true urgency.",0.90,message_0400
msg_099,digest,personal,"This is a non-blocking heads-up with a soft deadline before an 11 AM standup, so it can safely wait until morning.",0.81,message_0227
msg_008,digest,business_update,"This is a routine review request from a business account with no time sensitivity, matching a pattern the user typically reads later without acting on it.",0.83,message_0296
msg_092,digest,payment,"This is a routine monthly statement notice with no urgent deadline, so it can wait until the customer checks it later.",0.79,message_0346
msg_060,notify,urgent,"This same-day deadline from a trusted faculty sender requires immediate action, since late internship approval submissions won't be accepted after 5 PM.",0.90,message_0284
msg_004,notify,business_update,"This time-sensitive health update from a trusted business sender requires prompt review before a scheduled deadline, matching the user's usual quick-reply pattern.",0.90,message_0005
msg_030,mute,promotion,"A duplicated marketplace listing for a used kurta set, from a sender the user routinely ignores, with no urgency to warrant attention.",0.86,message_0115
msg_045,notify,urgent,"This is a time-sensitive delivery request with a strict 10-minute window, from a society group the user typically responds to quickly.",0.90,message_0061
msg_052,mute,scam,"The sender impersonates a known brand from an unverified, recently created account on a lookalike domain.",0.87,message_0207
msg_009,digest,event,"This casual sports-group message proposes an optional evening thread with no deadline, matching a pattern the user typically reads later without responding.",0.83,message_0074
msg_071,digest,event,"This extended-family message is a vague, unconfirmed plan for tomorrow with no fixed time, matching a thread the user typically reads later without acting.",0.83,none
msg_016,mute,scam,"The message asks for OTP, card or wallet credentials through a suspicious verification flow.",0.87,message_0024
msg_065,digest,promotion,"This is a promotional retail alert with an artificial expiration deadline, matching a sender the user typically browses later rather than acts on immediately.",0.83,message_0261
msg_038,mute,forward,The message is a chain forward asking the user to propagate it further.,0.87,message_0131
msg_086,notify,business_update,This voice note from a business contact the user reliably answers quickly likely contains time-sensitive information warranting immediate attention.,0.90,message_0222
msg_014,mute,promotion,The user has opted out of or repeatedly dismissed messages from this sender.,0.87,message_0018
msg_094,digest,promotion,"This is a promotional welcome offer from a business account advertising a time-limited discount, which is informational and can wait without consequence.",0.80,message_0356
msg_029,notify,promotion,"This is a time-sensitive marketplace listing with a firm price and weekend pickup window, from a sender the user typically engages with promptly.",0.88,message_0113
msg_105,mute,forward,The message is a chain forward asking the user to propagate it further.,0.87,message_0373
msg_002,notify,urgent,"This is a time-sensitive coworker request tied to an upcoming client meeting, needing a quick call before it starts to avoid mistakes.",0.90,message_0003
msg_010,digest,business_update,"This is a routine feedback request from a business account with no time pressure, matching the user's pattern of reading such messages later.",0.83,message_0242
msg_078,mute,scam,"The message asks for OTP, card or wallet credentials through a suspicious verification flow.",0.87,message_0220
msg_013,mute,promotion,"This is a one-off resale post from a college faculty group, unrelated to academics, matching a sender the user consistently ignores.",0.86,none
msg_018,mute,promotion,"This is a generic prize-claim lure from a marketplace group the user routinely ignores, showing classic low-value promotional spam patterns.",0.86,message_0026
msg_044,mute,scam,"The message asks for OTP, card or wallet credentials through a suspicious verification flow.",0.87,message_0143
msg_032,digest,personal,"A non-urgent request for shared class slides, matching this group's pattern of messages the user typically reads later without responding.",0.83,message_0119
msg_106,notify,urgent,"This is a same-day, time-sensitive location change with a hard deadline, so immediate delivery helps the user avoid getting locked out.",0.88,message_0376
msg_006,notify,urgent,"This is a same-day deadline from a society group the user reliably engages with quickly, warranting immediate delivery.",0.88,message_0044
msg_109,mute,scam,The message contains instructions aimed at the routing system rather than the user.,0.87,message_0151
msg_108,mute,scam,The message contains instructions aimed at the routing system rather than the user.,0.87,message_0094
msg_019,mute,scam,"The sender impersonates a known brand from an unverified, recently created account on a lookalike domain.",0.87,message_0277
msg_088,mute,personal,"A voice note with no text from a marketplace group the user routinely ignores, showing no signs of urgency or relevance.",0.86,message_0115
msg_056,notify,urgent,A family member sent a time-sensitive scheduling change requiring a quick yes-or-no confirmation before a same-day deadline.,0.90,message_0217
msg_027,digest,promotion,"This is a promotional travel offer from a business account with no time-sensitive action needed, matching a pattern the user typically skims later.",0.83,message_0007
msg_050,notify,business_update,"This time-sensitive health update from a trusted business sender requires prompt review before a scheduled deadline, matching the user's usual quick-reply pattern.",0.90,message_0279
msg_083,digest,personal,"This coworker group voice note carries no text preview, and this sender's messages are typically read later rather than acted on immediately.",0.83,message_0219
msg_063,mute,urgent,"This is a scam message disguised as an urgent fee notice with a QR code, mismatched with its casual local_food group origin.",0.86,message_0364
msg_033,notify,personal,"A caring family check-in from a fast-reply sender, low urgency but warmly personal, fitting quick habitual engagement.",0.88,message_0121
msg_061,mute,forward,The message is a chain forward asking the user to propagate it further.,0.87,message_0080
msg_020,mute,urgent,This is a suspicious link with urgency pressure from a marketplace group sender the user routinely dismisses without reading.,0.86,none
msg_017,mute,urgent,"This urgent-sounding payment demand from a marketplace group matches a pattern the user routinely dismisses, suggesting low-value or spam-like content.",0.86,message_0319
